INFO 2025-03-10 19:10:33,175 autoreload Watching for file changes with StatReloader
INFO 2025-03-10 19:10:53,868 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-03-10 19:10:54,046 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4158
INFO 2025-03-10 19:10:54,436 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-03-10 19:10:54,447 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-03-10 19:10:54,447 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-03-10 19:10:54,450 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-03-10 19:10:54,450 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-03-10 19:10:54,466 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-03-10 19:10:54,484 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2025-03-10 19:10:54,570 log Not Found: /favicon.ico
WARNING 2025-03-10 19:10:54,571 basehttp "GET /favicon.ico HTTP/1.1" 404 2372
INFO 2025-03-10 19:10:57,313 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-03-10 19:10:57,466 basehttp "GET /admin/ HTTP/1.1" 200 17158
INFO 2025-03-10 19:10:57,512 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-03-10 19:10:57,535 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-03-10 19:10:57,536 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-03-10 19:11:00,885 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 14682
INFO 2025-03-10 19:11:00,939 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-03-10 19:11:00,946 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-03-10 19:11:00,966 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-03-10 19:11:00,966 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
INFO 2025-03-10 19:11:00,984 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-03-10 19:11:01,003 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-03-10 19:11:01,005 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-03-10 19:11:01,005 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-03-10 19:11:01,026 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-03-10 19:11:01,097 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-10 19:11:01,143 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-03-10 19:11:01,145 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-03-10 19:11:01,190 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-03-10 19:11:03,484 basehttp "GET /admin/auth/group/2/change/ HTTP/1.1" 200 21294
INFO 2025-03-10 19:11:03,538 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
INFO 2025-03-10 19:11:03,546 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-03-10 19:11:03,554 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-03-10 19:11:03,554 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15502
INFO 2025-03-10 19:11:03,564 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2025-03-10 19:11:03,589 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-03-10 19:11:03,611 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-10 19:11:03,679 basehttp "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-03-10 19:11:03,679 basehttp "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-03-10 19:11:03,680 basehttp "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-03-10 19:12:10,678 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 14682
INFO 2025-03-10 19:12:12,261 basehttp "GET /admin/auth/group/3/change/ HTTP/1.1" 200 21269
INFO 2025-03-10 19:12:12,376 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
